language,product_category,review_title,review_body,stars,count
de,kitchen,Defekt,"Gerät kam defekt an. Der Display zeigte zwar an, dass die Programme laufen, jedoch bewegte sich die Antriebswelle nicht.",1,1
de,pet_products,Leider nichts fpr mein OEB,Nach nicht mal 30 Sekunden hat mein Hund diese umgeschmissen und das Futter lag überall verstreut. Kann es persönlich nicht empfehlen.,1,1
de,kitchen,Naja,"Für sandwiches, burger Patty's ist er ganz OK aber steaks, Händchen oder Würstchen finde ich es nicht gut. Vom Gerät selber her sieht er gut aus und ist platzsparend.",2,1
de,shoes,Schlechte Qualität,"Innensohle löste sich nach ca.4 Wochen auf, Klettverschluss ebenfalls abgenutzt und geht kaputt.Diese Schuhe sind nicht zu empfehlen, billige Qualität.",2,1
de,home_improvement,Verpackung,"Der Akku ist halt ein Original, also nichts zu beanstanden. Allerdings ist die Verpackung absolut kundenunfreundlich. Ich verstehe, dass man die Akkus im Laden vor Diebstahl schützen möchte, aber wenn ich im Hause nach der Lieferung von Amazon ca. 15 Min. brauche um die Verpackung zu öffnen, so empfinde ich das als Zumutung.",3,1
de,pet_products,Könnte der verschluss besser sein,Ist nicht so gut weil der Kot am Hintern klebt,3,1
de,home_improvement,"klebt nicht so fest, wie erwartet","das Isolierband klebt nicht so fest, wie ich erwartet habe, daher nur 4 Sterne",4,1
de,pet_products,Es scheint....,geschmeckt zu haben. :),4,1
de,jewelry,Attraktives Freundschaftsband mit coolem Logo,Schönes Teil mit gutem Preis-/Leistungsverhältnis. Schnelle Lieferung. Wirkt hochwertig und ist cool verpackt. Könnte Weihnachtsgeschenk für meine Badminton-Kumpel werden...,5,1
de,pet_products,Gute Geschenk idee,"Meine freundin hat sich sehr gefreut, tolles Produkt",5,1
en,industrial_supplies,Too small,"Believe the other reviews, the belt is small and won’t let you start the mower. When you do it will burn the belt in minutes.",1,1
en,pc,Not Working after 3 months,Purchases this for my husband and after 3 months it just stopped working will no longer turn on. Being trying to contact support for this item since it has 1 year warranty but it just seems impossible to heb ahold of someone for a replacement.,1,1
en,home,Two Stars,These shed too much.,2,1
en,shoes,Returning,Returning these. They felt really cheap and I usually wear cheap sunglasses so that really says something lol. Felt super thin and flimsy the look was okay.,2,1
en,industrial_supplies,Works well after some headaches.,"Had some problems getting it to work. The supplied cable was no good - would not charge the battery. When I replaced cable with my own was able to charge and then connect the device via bluetooth to a PC. Had trouble finding the PC software but when I emailed their support they responded within a day with the correct download info. PC program works well for testing the unit after you figure out which port to use (port 4 in my case). The accuracy and stability of the unit look very good for my application, however I was not able to connect to either an iPhone or iPad (tried several of each) via bluetooth. Will have to hard-wire if I decide to use this device in my product.",3,1
en,pc,Can we say REFUND!,"I loved the packaging when it came; opened it and loved the design but, it didn't serve its purpose at all. I was truly wishing that I had a gold mine here but nothing... Really the only thing I use it for is to hold my phone when watching movies. That's all, other than that I don't use it.",3,1
en,home_improvement,Work fairly well,"I do love these chair socks. They match the color of our dining chairs. But they don’t always stay put. I’ve found if you have a chair (or two) that is used more frequently, being pulled in and out from under the table, they weaken the material and slide off the leg. I still continue to use the socks because they are keeping my hardwood floors from scratching but I wish they would have a bit more elastic in them to stay put on the legs.",4,1
en,other,Slow to load,Not very user friendly.,4,1
en,industrial_supplies,Had to use a piece of Velcro on my hard hat and the shade because it kept wanting to spin around when I worked but other than th,Purchased the blue color... It's very big but provides a lot of shade. It doesn't touch my neck or get in the way when I work. Had to use a piece of Velcro on my hard hat and the shade because it kept wanting to spin around when I worked but other than that I love it.,5,1
en,other,Sturdy and durable,Very sturdy and light weight. Used it for my hammock,5,1
es,lawn_and_garden,No me gustan,No traen las cuerdas que salen en las fotos,1,1
es,sports,Se rompe con mucha facilidad,"este producto no vale para mtb, a mitad de ruta, cuando fuy a utilizarlo para quitar una rueda estaba comoletamente desmontado",1,1
es,lawn_and_garden,Poca resistencia del material,"No sirve para sentarse, excepto si eres un niño. Las patas se abren y la rompes.",2,1
es,sports,No me acaba de gustar,"El freno de atrás funciona fatal, en varias ocaciones he tenido que frenar con los pies porque o sino me chocaba con las personas y a parte de eso hace un ruido fatal y no aguanta los 25km de autonomia como dicen solo hace 14 y da gracias.",2,1
es,kitchen,Mas o menos...,"Está muy bien lograda, pero tiene partes sin pintar. Por otro lado, el hecho de que no pueda meterla en el microondas (lo dice la etiqueta), me hecha para atrás. Es bonita, si no fuera por ello la devolvería. Recomendada, a medias.",3,1
es,sports,Buen producto pero para puertas grandes,Se ve un producto de calidad y se pliega para poder guardarlo. Lo he tenido que devolver ya que es muy grande y solo vale para puertas de gran tamaño,3,1
es,kitchen,Buena y util,"Es una buena plancha para 2 personas, llego con el cajon roto pero amazon me compenso por ello sin ningún problema. Gracias",4,1
es,sports,Buen equipo para iniciarse!!!,Buen casco y buen disipador el unico contra es que el arnes es muy basico... Pero es perfecto para iniciarse!!!,4,1
es,kitchen,Buenas para envasar al vacio,Buenas bolsas para la envasadora al vacio. Cumplen su funcion. Si es la medida que quieres estan muy bien,5,1
es,pet_products,Precio,Ahorro con respecto al precio en tiendas,5,1
fr,kitchen,colis livré dans un état !!!!,"Bonjour, voici le colis livré , il manque des accessoires c'est la premiere fois que je vois cela . je vais faire le retour. cordialement.",1,1
fr,sports,Deception,"N'écarte pas les jambes sans que les bras forcent. Impossible de tenir la position car on ne peut pas ""bloquer"" le système. Douloureux aux chevilles.",1,1
fr,kitchen,Une seule tasse et non deux !,Je n'ai reçu qu'une tasse de voyage alors que le descriptif disait que j'en recevais deux. Je suis donc déçue.,2,1
fr,sports,Casque correct mais pas super bien fini au niveau design,"Qualité perfectible au niveau des raccords entre mousse et coque plastique. Les raccords entre les différentes couleurs ne sont pas nettes. Cependant pour ce prix là, il ne fait pas être trop exigeant.",2,1
fr,industrial_supplies,Plein de colle,"Prise conforme, par contre, la grosse étiquette qui poisse et qui laisse des traces sur la façade de la prise, c'était pas nécessaire.",3,1
fr,pet_products,Qualité moyenne,"Reçu rapidement, le jouet ne semble pas très solide, après 30min avec mon cocker, il était déjà bien abîmé par des traces de dents. Je ne suis pas sûr qu’il tienne longtemps.",3,1
fr,kitchen,Livraison,"Tout est parfait, dommage que l'emballage est celui de la machine, pas top quand c'est un cadeau (pas mal abimé quand même)",4,1
fr,shoes,Satisfait,Aspect très appréciable. Taille correctement la qualité à l’air bonne à voir dans le temps. Reçu 48 h avant la date de livraison. Satisfait.,4,1
fr,jewelry,bague homme,"Reçu très rapidement, bel article, bonne taille, impeccable",5,1
fr,pet_products,Mon chat adore!!!,"Franchement super achat! Mon chat l'adore il pose facilement sa tête sur les côtés, l'herbe à chat est top, pour faire ses griffes génial. Il est livré monté donc bien! Le seul bémol c'est que comme mon chat l'adore et que cela reste du carton il a fini par arracher tout le fond et faire un trou et donc j'avais pleins de flocon de carton régulièrement par terre. Mais c'est vraiment qu'il y allait gratter tout le temps Donc super achat je recommande et comme le mien a un trou je vais devoir en racheter un!",5,1
